iter	Passed	Remaining
0	1	72
1	3	72
2	4	67
3	5	63
4	6	58
5	7	55
6	8	54
7	9	51
8	10	49
9	11	47
10	12	45
11	14	44
12	15	43
13	16	41
14	17	40
15	18	39
16	19	38
17	21	37
18	22	36
19	23	35
20	24	33
21	25	32
22	26	31
23	27	30
24	28	28
25	29	27
26	31	26
27	32	25
28	33	24
29	34	23
30	35	21
31	36	20
32	38	19
33	39	18
34	40	17
35	41	16
36	42	14
37	43	13
38	44	12
39	46	11
40	47	10
41	49	9
42	50	8
43	51	7
44	52	5
45	53	4
46	55	3
47	56	2
48	57	1
49	58	0
