iter	Passed	Remaining
0	1	63
1	2	55
2	3	53
3	4	52
4	5	50
5	6	49
6	7	47
7	9	48
8	10	48
9	12	48
10	13	48
11	15	47
12	16	46
13	17	45
14	18	43
15	19	42
16	21	40
17	22	39
18	23	38
19	24	36
20	25	35
21	26	33
22	27	32
23	29	31
24	30	30
25	31	29
26	32	27
27	33	26
28	35	25
29	36	24
30	37	22
31	38	21
32	39	20
33	40	19
34	42	18
35	43	16
36	44	15
37	45	14
38	47	13
39	48	12
40	49	10
41	51	9
42	52	8
43	53	7
44	54	6
45	55	4
46	56	3
47	57	2
48	59	1
49	60	0
