iter	RMSE
0	0.01633843871
1	0.01600250478
2	0.01545347828
3	0.0151583742
4	0.01497004023
5	0.01457119001
6	0.01439719742
7	0.01428177887
8	0.01394805905
9	0.01383333969
10	0.01368910933
11	0.01345974456
12	0.01323629308
13	0.01304929463
14	0.01290688159
15	0.01281035016
16	0.01257506121
17	0.01227791585
18	0.01210855368
19	0.01190532179
20	0.01176982077
21	0.01142297825
22	0.01129809202
23	0.01105999739
24	0.01089358504
25	0.01080939272
26	0.01057277932
27	0.01029541158
28	0.01009441067
29	0.009805263612
30	0.009733758843
31	0.009598386825
32	0.009338732278
33	0.009040442749
34	0.008927108697
35	0.008684542143
36	0.008573853662
37	0.00835168163
38	0.008058376237
39	0.007949318349
40	0.007912969293
41	0.007713060113
42	0.007526161
43	0.007393986831
44	0.007155307693
45	0.007087682207
46	0.006961658463
47	0.006814697893
48	0.006667655752
49	0.006481065743
